label,notation
CORIOLIS-PREVIMER,coriolisPrevimer
CORIOLIS-PROSAT,coriolisProsat
CORIOLIS-REMOCEAN,coriolisRemocean
CORIOLIS-REMOCEAN EQ.,coriolisRemoceanEq
CORIOLIS-SPICE,coriolisSpice
CORIOLIS-TRACK,coriolisTrack
E-AIMS,eAIMS
E-ASAP,eASAP
E-SURFMAR,eSurfmar
E-SURFMAR GDP,eSurfmarGDP
E-SURFMAR-IRISH IMI,eSurfmarIrishIMI
E-SURFMAR-NOAA,eSurfmarNOAA
E-SURFMAR-UK/FR MB,eSurfmarUKFRMB
E-SURFMAR-UK MB,eSurfmarUKMB
EuroSea Argo,euroSeaArgo
German AOD network,germanAODnetwork
GERMANY MB,germanyMB
GREECE MB,greeceMB
GYROSCOPE,gyroscope
INDIA-NIOT,indiaNIOT
INDIA NIO-TSU,indiaNIOTSU
Irish sustained glider deployment,irishGlider
ITALY DB,italyDB
ITALY-OGS,italyOGS
Lightning detection system,lightningDetection
MARLIN-DB,marlinDB
MERIDIAN GOODHOPE,meridianGoodHope
Non-affiliated,nonAffiliated
PACIOOS,pacIOOS
Peru-MB,peruMB
PETROBRAS,petrobras
PolarAOD,polarAOD
Projeto Azul,projetoAzul
SAILDRONE,saildrone
SCRIPPS,scripps
SHELL,shell
SHOA-TSU,shoaTSU
SibRad,sibRad
SKYNET,skynet
SOCLIM,soclim
SPAIN-PDE MB,spainPDEMB
STRATUS,stratus
TAO ATLAS,taoAtlas
TAO PIRATA,taoPirata
TAO PIRATA US,taoPirataUS
TAO RAMA US-INDIA,taoRamaUSindia
TAO TRITON,taoTriton
Texas University Glider Program,texasUniversityGlider
unknown,unknown
Wind Profilers,windProfiler
